#Mass value    Hgg width   HZZ width   Htot width 
115   0.000270375   2.69448e-05   0.00309
116   0.000277764   3.13472e-05   0.00316
117   0.000284563   3.6176e-05   0.00323
118   0.000291942   4.2037e-05   0.00331
119   0.000298998   4.8477e-05   0.00339
120   0.000306588   5.568e-05   0.00348
121   0.000313803   6.3903e-05   0.00357
122   0.000322   7.3232e-05   0.00368
123   0.000329351   8.338e-05   0.00379
124   0.000337433   9.4622e-05   0.00391
125   0.00034542   0.000107464   0.00404
126   0.00035321   0.000121638   0.00418
127   0.000361555   0.000137261   0.00433
128   0.00037035   0.0001548   0.0045
129   0.000378612   0.000174096   0.00468
130   0.00038796   0.000195688   0.00488
131   0.000396511   0.00021887   0.00509
132   0.000405384   0.00024472   0.00532
133   0.000414408   0.00027293   0.00557
134   0.000424125   0.0003042   0.00585
135   0.000433575   0.00033825   0.00615
136   0.000443232   0.00037584   0.00648
137   0.000452808   0.000416556   0.00684
138   0.000461997   0.000460551   0.00723
139   0.000471856   0.000508624   0.00766
140   0.000482702   0.00056166   0.00814
141   0.000492754   0.00061919   0.00866
142   0.000502656   0.000681912   0.00924
143   0.00051428   0.000750651   0.00989
144   0.0005247   0.00082468   0.0106
145   0.00053466   0.00090516   0.0114
146   0.00054612   0.00099384   0.0123
147   0.00055727   0.00108794   0.0133
148   0.0005713   0.00119625   0.0145
149   0.00058144   0.00130824   0.0158
150   0.00059339   0.00143071   0.0173
151   0.0006023   0.0015599   0.019
152   0.00061612   0.00170699   0.0211
153   0.00063012   0.00186912   0.0236
154   0.00064106   0.00204022   0.0266
155   0.00065448   0.00222705   0.0303
156   0.000665   0.0024255   0.035
157   0.00067732   0.00264733   0.0413
158   0.00068774   0.00289152   0.0502
159   0.00070152   0.00315368   0.0632
160   0.00070965   0.0034445   0.083
161   0.000731688   0.00383035   0.11236
162   0.00073353   0.0041454   0.147
163   0.000737801   0.00451312   0.18125
164   0.00075465   0.0049665   0.215
165   0.000761097   0.00543399   0.245813
166   0.0007755   0.005995   0.275
167   0.000789072   0.0066176   0.303125
168   0.0008052   0.007326   0.33
169   0.000816474   0.00809144   0.355375
170   0.0008284   0.008968   0.38
171   0.000842632   0.00999677   0.404625
172   0.000858   0.0111969   0.429
173   0.000872712   0.0125753   0.453062
174   0.00088722   0.0142146   0.477
